time     sideslip   row_rate  row_angle yaw_rate rudder   aileron
0.000000 97.685000 -0.100000 1.000000 -0.250000 -0.000000 -0.000000 
0.010100 98.302707 -0.103301 0.999315 -0.247078 -0.000000 -0.000000 
0.020200 98.914346 -0.106596 0.998609 -0.244143 -0.000000 -0.000000 
0.030300 99.519892 -0.109884 0.997880 -0.241194 -0.000000 -0.000000 
0.040300 100.113415 -0.113133 0.997136 -0.238263 -0.000000 -0.000000 
0.050300 100.700918 -0.116375 0.996371 -0.235319 -0.000000 -0.000000 
0.060300 101.282376 -0.119610 0.995585 -0.232364 -0.000000 -0.000000 
0.070300 101.857767 -0.122838 0.994776 -0.229396 -0.000000 -0.000000 
0.080300 102.427069 -0.126058 0.993947 -0.226417 -0.000000 -0.000000 
0.090300 102.990260 -0.129270 0.993096 -0.223426 -0.000000 -0.000000 
0.100300 103.547317 -0.132475 0.992223 -0.220424 -0.000000 -0.000000 
0.110300 104.098219 -0.135672 0.991329 -0.217411 -0.000000 -0.000000 
0.120300 104.642945 -0.138860 0.990414 -0.214386 -0.000000 -0.000000 
0.130400 105.186829 -0.142072 0.989468 -0.211321 -0.000000 -0.000000 
0.140500 105.724370 -0.145275 0.988501 -0.208244 -0.000000 -0.000000 
0.150600 106.255548 -0.148469 0.987512 -0.205157 -0.000000 -0.000000 
0.160700 106.780343 -0.151654 0.986501 -0.202060 -0.000000 -0.000000 
0.170800 107.298735 -0.154830 0.985469 -0.198952 -0.000000 -0.000000 
0.180900 107.810704 -0.157996 0.984416 -0.195834 -0.000000 -0.000000 
0.191000 108.316232 -0.161152 0.983342 -0.192706 -0.000000 -0.000000 
0.201100 108.815298 -0.164299 0.982246 -0.189568 -0.000000 -0.000000 
0.211200 109.307886 -0.167435 0.981129 -0.186421 -0.000000 -0.000000 
0.221300 109.793977 -0.170562 0.979991 -0.183264 -0.000000 -0.000000 
0.231400 110.273553 -0.173677 0.978832 -0.180098 -0.000000 -0.000000 
0.241500 110.746597 -0.176783 0.977652 -0.176923 -0.000000 -0.000000 
0.251600 111.213092 -0.179877 0.976451 -0.173739 -0.000000 -0.000000 
0.261700 111.673022 -0.182961 0.975230 -0.170547 -0.000000 -0.000000 
0.271800 112.126370 -0.186033 0.973987 -0.167346 -0.000000 -0.000000 
0.281900 112.573120 -0.189094 0.972724 -0.164136 -0.000000 -0.000000 
0.292000 113.013258 -0.192144 0.971441 -0.160919 -0.000000 -0.000000 
0.302100 113.446767 -0.195182 0.970137 -0.157694 -0.000000 -0.000000 
0.312200 113.873635 -0.198208 0.968812 -0.154461 -0.000000 -0.000000 
0.322300 114.293845 -0.201222 0.967467 -0.151220 -0.000000 -0.000000 
0.332400 114.707385 -0.204224 0.966102 -0.147972 -0.000000 -0.000000 
0.342500 115.114240 -0.207214 0.964717 -0.144717 -0.000000 -0.000000 
0.352600 115.514398 -0.210191 0.963312 -0.141455 -0.000000 -0.000000 
0.362700 115.907846 -0.213155 0.961886 -0.138187 -0.000000 -0.000000 
0.372800 116.294572 -0.216107 0.960441 -0.134911 -0.000000 -0.000000 
0.382900 116.674563 -0.219045 0.958976 -0.131630 -0.000000 -0.000000 
0.393000 117.047808 -0.221971 0.957491 -0.128342 -0.000000 -0.000000 
0.403100 117.414295 -0.224883 0.955987 -0.125048 -0.000000 -0.000000 
0.413200 117.774015 -0.227781 0.954463 -0.121748 -0.000000 -0.000000 
0.423300 118.126955 -0.230666 0.952919 -0.118442 -0.000000 -0.000000 
0.433400 118.473107 -0.233537 0.951357 -0.115131 -0.000000 -0.000000 
0.443500 118.812460 -0.236395 0.949774 -0.111815 -0.000000 -0.000000 
0.453600 119.145005 -0.239238 0.948173 -0.108493 -0.000000 -0.000000 
0.463700 119.470734 -0.242066 0.946553 -0.105167 -0.000000 -0.000000 
0.473800 119.789637 -0.244881 0.944913 -0.101836 -0.000000 -0.000000 
0.483900 120.101707 -0.247680 0.943255 -0.098501 -0.000000 -0.000000 
0.494000 120.406935 -0.250465 0.941578 -0.095161 -0.000000 -0.000000 
0.504100 120.705314 -0.253235 0.939882 -0.091817 -0.000000 -0.000000 
0.514200 120.996838 -0.255990 0.938167 -0.088469 -0.000000 -0.000000 
0.524300 121.281498 -0.258730 0.936434 -0.085117 -0.000000 -0.000000 
0.534400 121.559291 -0.261455 0.934683 -0.081762 -0.000000 -0.000000 
