time     sideslip   row_rate  row_angle yaw_rate rudder   aileron
0.000000 13.955000 -0.050000 1.000000 0.100000 -0.000000 -0.000000 
0.010100 13.974066 -0.049982 0.999663 0.100228 -0.000000 -0.000000 
0.020200 13.992619 -0.049965 0.999327 0.100455 -0.000000 -0.000000 
0.030300 14.010658 -0.049949 0.998991 0.100683 -0.000000 -0.000000 
0.040300 14.028013 -0.049933 0.998658 0.100909 -0.000000 -0.000000 
0.050300 14.044866 -0.049917 0.998325 0.101134 -0.000000 -0.000000 
0.060300 14.061216 -0.049901 0.997992 0.101360 -0.000000 -0.000000 
0.070300 14.077064 -0.049886 0.997659 0.101586 -0.000000 -0.000000 
0.080300 14.092410 -0.049872 0.997327 0.101812 -0.000000 -0.000000 
0.090300 14.107255 -0.049857 0.996994 0.102038 -0.000000 -0.000000 
0.100300 14.121598 -0.049843 0.996662 0.102264 -0.000000 -0.000000 
0.110300 14.135441 -0.049829 0.996330 0.102489 -0.000000 -0.000000 
0.120300 14.148783 -0.049815 0.995998 0.102715 -0.000000 -0.000000 
0.130400 14.161750 -0.049802 0.995662 0.102943 -0.000000 -0.000000 
0.140500 14.174208 -0.049788 0.995327 0.103171 -0.000000 -0.000000 
0.150600 14.186157 -0.049775 0.994992 0.103399 -0.000000 -0.000000 
0.160700 14.197597 -0.049762 0.994657 0.103627 -0.000000 -0.000000 
0.170800 14.208528 -0.049749 0.994322 0.103855 -0.000000 -0.000000 
0.180900 14.218952 -0.049736 0.993987 0.104083 -0.000000 -0.000000 
0.191000 14.228868 -0.049723 0.993652 0.104310 -0.000000 -0.000000 
0.201100 14.238278 -0.049710 0.993317 0.104538 -0.000000 -0.000000 
0.211200 14.247182 -0.049698 0.992983 0.104765 -0.000000 -0.000000 
0.221300 14.255580 -0.049685 0.992648 0.104992 -0.000000 -0.000000 
0.231400 14.263474 -0.049673 0.992313 0.105219 -0.000000 -0.000000 
0.241500 14.270863 -0.049660 0.991979 0.105446 -0.000000 -0.000000 
0.251600 14.277749 -0.049647 0.991645 0.105673 -0.000000 -0.000000 
0.261700 14.284132 -0.049635 0.991310 0.105900 -0.000000 -0.000000 
0.271800 14.290013 -0.049622 0.990976 0.106126 -0.000000 -0.000000 
0.281900 14.295393 -0.049609 0.990642 0.106352 -0.000000 -0.000000 
0.292000 14.300272 -0.049596 0.990308 0.106578 -0.000000 -0.000000 
0.302100 14.304652 -0.049584 0.989974 0.106803 -0.000000 -0.000000 
0.312200 14.308533 -0.049570 0.989640 0.107029 -0.000000 -0.000000 
0.322300 14.311915 -0.049557 0.989307 0.107254 -0.000000 -0.000000 
0.332400 14.314801 -0.049544 0.988973 0.107479 -0.000000 -0.000000 
0.342500 14.317190 -0.049530 0.988640 0.107703 -0.000000 -0.000000 
0.352600 14.319084 -0.049516 0.988306 0.107927 -0.000000 -0.000000 
0.362700 14.320484 -0.049502 0.987973 0.108151 -0.000000 -0.000000 
0.372800 14.321390 -0.049488 0.987639 0.108375 -0.000000 -0.000000 
0.382900 14.321804 -0.049474 0.987306 0.108598 -0.000000 -0.000000 
0.393000 14.321726 -0.049459 0.986973 0.108821 -0.000000 -0.000000 
0.403100 14.321158 -0.049444 0.986640 0.109044 -0.000000 -0.000000 
0.413200 14.320100 -0.049429 0.986307 0.109266 -0.000000 -0.000000 
0.423300 14.318554 -0.049413 0.985975 0.109487 -0.000000 -0.000000 
0.433400 14.316521 -0.049398 0.985642 0.109709 -0.000000 -0.000000 
0.443500 14.314001 -0.049381 0.985309 0.109930 -0.000000 -0.000000 
0.453600 14.310997 -0.049365 0.984977 0.110150 -0.000000 -0.000000 
0.463700 14.307509 -0.049348 0.984645 0.110370 -0.000000 -0.000000 
0.473800 14.303538 -0.049331 0.984312 0.110590 -0.000000 -0.000000 
0.483900 14.299086 -0.049313 0.983980 0.110809 -0.000000 -0.000000 
0.494000 14.294153 -0.049295 0.983648 0.111028 -0.000000 -0.000000 
0.504100 14.288742 -0.049276 0.983316 0.111246 -0.000000 -0.000000 
0.514200 14.282853 -0.049257 0.982985 0.111464 -0.000000 -0.000000 
0.524300 14.276487 -0.049238 0.982653 0.111681 -0.000000 -0.000000 
0.534400 14.269646 -0.049218 0.982322 0.111898 -0.000000 -0.000000 
0.544500 14.262332 -0.049198 0.981990 0.112114 -0.000000 -0.000000 
0.554600 14.254545 -0.049177 0.981659 0.112330 -0.000000 -0.000000 
0.564700 14.246287 -0.049156 0.981328 0.112545 -0.000000 -0.000000 
0.574800 14.237559 -0.049134 0.980997 0.112759 -0.000000 -0.000000 
0.584900 14.228363 -0.049111 0.980666 0.112973 -0.000000 -0.000000 
0.595000 14.218701 -0.049089 0.980336 0.113187 -0.000000 -0.000000 
0.605100 14.208572 -0.049065 0.980005 0.113399 -0.000000 -0.000000 
0.615200 14.197980 -0.049041 0.979675 0.113611 -0.000000 -0.000000 
0.625300 14.186926 -0.049017 0.979345 0.113823 -0.000000 -0.000000 
0.635400 14.175411 -0.048991 0.979015 0.114034 -0.000000 -0.000000 
0.645500 14.163436 -0.048966 0.978685 0.114244 -0.000000 -0.000000 
0.655600 14.151004 -0.048939 0.978356 0.114454 -0.000000 -0.000000 
0.665700 14.138115 -0.048912 0.978026 0.114663 -0.000000 -0.000000 
0.675800 14.124772 -0.048885 0.977697 0.114871 -0.000000 -0.000000 
0.685900 14.110976 -0.048856 0.977368 0.115079 -0.000000 -0.000000 
0.696000 14.096729 -0.048827 0.977039 0.115286 -0.000000 -0.000000 
0.706100 14.082032 -0.048798 0.976710 0.115492 -0.000000 -0.000000 
0.716200 14.066886 -0.048768 0.976382 0.115697 -0.000000 -0.000000 
0.726300 14.051295 -0.048737 0.976054 0.115902 -0.000000 -0.000000 
0.736400 14.035259 -0.048705 0.975726 0.116106 -0.000000 -0.000000 
0.746500 14.018780 -0.048673 0.975398 0.116309 -0.000000 -0.000000 
0.756600 14.001861 -0.048640 0.975070 0.116512 -0.000000 -0.000000 
0.766700 13.984501 -0.048606 0.974743 0.116714 -0.000000 -0.000000 
0.776800 13.966705 -0.048571 0.974415 0.116915 -0.000000 -0.000000 
0.786900 13.948472 -0.048536 0.974089 0.117115 -0.000000 -0.000000 
0.797000 13.929806 -0.048500 0.973762 0.117314 -0.000000 -0.000000 
0.807100 13.910708 -0.048463 0.973435 0.117513 -0.000000 -0.000000 
0.817200 13.891180 -0.048426 0.973109 0.117711 -0.000000 -0.000000 
0.827300 13.871223 -0.048387 0.972783 0.117907 -0.000000 -0.000000 
0.837400 13.850841 -0.048348 0.972458 0.118104 -0.000000 -0.000000 
0.847500 13.830033 -0.048308 0.972132 0.118299 -0.000000 -0.000000 
0.857600 13.808804 -0.048268 0.971807 0.118493 -0.000000 -0.000000 
0.867700 13.787154 -0.048226 0.971482 0.118687 -0.000000 -0.000000 
0.877800 13.765085 -0.048184 0.971158 0.118879 -0.000000 -0.000000 
0.887900 13.742600 -0.048141 0.970833 0.119071 -0.000000 -0.000000 
0.898000 13.719701 -0.048097 0.970509 0.119262 -0.000000 -0.000000 
0.908100 13.696389 -0.048052 0.970186 0.119452 -0.000000 -0.000000 
