time     sideslip   row_rate  row_angle yaw_rate rudder   aileron
0.000000 279.100000 0.000000 0.000000 0.000000 -1.211444 0.100364 
0.010100 278.862377 -0.010500 -0.000036 0.008997 -1.216668 0.100777 
0.020200 278.607823 -0.020898 -0.000142 0.017989 -1.221778 0.101180 
0.030300 278.336347 -0.031197 -0.000317 0.026975 -1.226773 0.101572 
0.040300 278.050899 -0.041294 -0.000559 0.035866 -1.231607 0.101951 
0.050300 277.748888 -0.051294 -0.000868 0.044749 -1.236328 0.102321 
0.060300 277.430328 -0.061195 -0.001243 0.053625 -1.240937 0.102680 
0.070300 277.095235 -0.070997 -0.001684 0.062493 -1.245433 0.103029 
0.080300 276.743624 -0.080702 -0.002190 0.071351 -1.249818 0.103369 
0.090300 276.375516 -0.090309 -0.002760 0.080201 -1.254089 0.103699 
0.100300 275.990928 -0.099819 -0.003394 0.089039 -1.258249 0.104019 
0.110300 275.589882 -0.109230 -0.004091 0.097867 -1.262296 0.104329 
0.120300 275.172400 -0.118544 -0.004850 0.106684 -1.266231 0.104630 
0.130400 274.734084 -0.127853 -0.005680 0.115576 -1.270091 0.104923 
0.140500 274.279051 -0.137062 -0.006572 0.124455 -1.273837 0.105207 
0.150600 273.807328 -0.146172 -0.007526 0.133321 -1.277467 0.105480 
0.160700 273.318943 -0.155183 -0.008541 0.142172 -1.280984 0.105744 
0.170800 272.813926 -0.164095 -0.009616 0.151009 -1.284385 0.105998 
0.180900 272.292307 -0.172908 -0.010751 0.159829 -1.287672 0.106241 
0.191000 271.754118 -0.181623 -0.011945 0.168634 -1.290845 0.106475 
0.201100 271.199394 -0.190239 -0.013197 0.177421 -1.293903 0.106699 
0.211200 270.628168 -0.198756 -0.014506 0.186191 -1.296847 0.106913 
0.221300 270.040477 -0.207176 -0.015873 0.194943 -1.299676 0.107117 
0.231400 269.436359 -0.215497 -0.017297 0.203676 -1.302391 0.107311 
0.241500 268.815851 -0.223720 -0.018775 0.212390 -1.304992 0.107495 
0.251600 268.178995 -0.231846 -0.020309 0.221083 -1.307479 0.107669 
0.261700 267.525831 -0.239873 -0.021898 0.229756 -1.309852 0.107834 
