time     sideslip   row_rate row_angle yaw_rate rudder  aileron
0.000000 279.100000 0.000000 0.000000 0.000000 0.033610 2.266969 
0.010100 278.906680 -0.005426 -0.000018 0.007193 0.158614 2.272945 
0.020200 278.704449 -0.010739 -0.000073 0.014172 0.277421 2.279087 
0.030300 278.493484 -0.015941 -0.000163 0.020947 0.390308 2.285380 
0.040300 278.276190 -0.020986 -0.000286 0.027462 0.496485 2.291747 
0.050300 278.050657 -0.025927 -0.000443 0.033796 0.597364 2.298238 
0.060300 277.817035 -0.030767 -0.000632 0.039957 0.693180 2.304840 
0.070300 277.575464 -0.035507 -0.000853 0.045954 0.784158 2.311543 
0.080300 277.326078 -0.040151 -0.001105 0.051793 0.870513 2.318335 
0.090300 277.069006 -0.044699 -0.001388 0.057482 0.952450 2.325207 
0.100300 276.804368 -0.049154 -0.001701 0.063029 1.030167 2.332148 
0.110300 276.532278 -0.053518 -0.002043 0.068439 1.103851 2.339150 
0.120300 276.252846 -0.057792 -0.002414 0.073720 1.173684 2.346204 
0.130400 275.963262 -0.062021 -0.002818 0.078929 1.240493 2.353371 
0.140500 275.666394 -0.066161 -0.003249 0.084018 1.303717 2.360573 
0.150600 275.362340 -0.070215 -0.003709 0.088993 1.363520 2.367802 
0.160700 275.051191 -0.074184 -0.004195 0.093859 1.420057 2.375051 
0.170800 274.733034 -0.078070 -0.004708 0.098622 1.473477 2.382312 
0.180900 274.407950 -0.081875 -0.005246 0.103286 1.523923 2.389578 
0.191000 274.076018 -0.085600 -0.005810 0.107856 1.571530 2.396842 
0.201100 273.737313 -0.089246 -0.006399 0.112336 1.616429 2.404098 
0.211200 273.391904 -0.092815 -0.007012 0.116732 1.658745 2.411339 
0.221300 273.039858 -0.096309 -0.007649 0.121047 1.698597 2.418560 
0.231400 272.681240 -0.099727 -0.008309 0.125284 1.736098 2.425755 
0.241500 272.316109 -0.103072 -0.008992 0.129448 1.771358 2.432918 
0.251600 271.944522 -0.106345 -0.009697 0.133542 1.804481 2.440045 
0.261700 271.566536 -0.109547 -0.010424 0.137570 1.835567 2.447130 
0.271800 271.182200 -0.112680 -0.011172 0.141534 1.864710 2.454168 
0.281900 270.791565 -0.115743 -0.011941 0.145438 1.892002 2.461156 
0.292000 270.394679 -0.118739 -0.012730 0.149284 1.917530 2.468089 
0.302100 269.991585 -0.121669 -0.013540 0.153076 1.941377 2.474963 
0.312200 269.582326 -0.124533 -0.014369 0.156816 1.963622 2.481773 
0.322300 269.166944 -0.127333 -0.015217 0.160506 1.984343 2.488517 
0.332400 268.745477 -0.130069 -0.016084 0.164148 2.003611 2.495190 
0.342500 268.317962 -0.132742 -0.016968 0.167746 2.021495 2.501789 
0.352600 267.884436 -0.135354 -0.017871 0.171300 2.038063 2.508311 
0.362700 267.444932 -0.137905 -0.018791 0.174813 2.053378 2.514753 
0.372800 266.999483 -0.140396 -0.019728 0.178288 2.067501 2.521112 
0.382900 266.548120 -0.142829 -0.020682 0.181724 2.080489 2.527385 
0.393000 266.090874 -0.145203 -0.021651 0.185126 2.092398 2.533569 
0.403100 265.627774 -0.147519 -0.022637 0.188493 2.103280 2.539663 
0.413200 265.158847 -0.149779 -0.023638 0.191828 2.113187 2.545662 
0.423300 264.684121 -0.151984 -0.024654 0.195131 2.122167 2.551566 
0.433400 264.203621 -0.154133 -0.025685 0.198405 2.130265 2.557372 
0.443500 263.717373 -0.156228 -0.026730 0.201650 2.137526 2.563078 
0.453600 263.225401 -0.158269 -0.027788 0.204869 2.143992 2.568681 
0.463700 262.727730 -0.160258 -0.028861 0.208061 2.149703 2.574181 
0.473800 262.224382 -0.162194 -0.029946 0.211228 2.154698 2.579575 
0.483900 261.715380 -0.164079 -0.031045 0.214370 2.159013 2.584861 
0.494000 261.200746 -0.165913 -0.032156 0.217490 2.162683 2.590039 
0.504100 260.680502 -0.167697 -0.033279 0.220588 2.165742 2.595106 
0.514200 260.154668 -0.169431 -0.034414 0.223664 2.168222 2.600061 
0.524300 259.623265 -0.171116 -0.035561 0.226720 2.170152 2.604903 
0.534400 259.086315 -0.172753 -0.036719 0.229756 2.171563 2.609630 
0.544500 258.543836 -0.174343 -0.037887 0.232773 2.172481 2.614242 
0.554600 257.995850 -0.175885 -0.039066 0.235771 2.172933 2.618736 
0.564700 257.442375 -0.177380 -0.040256 0.238751 2.172945 2.623113 
0.574800 256.883431 -0.178830 -0.041455 0.241715 2.172541 2.627371 
0.584900 256.319038 -0.180234 -0.042664 0.244661 2.171744 2.631509 
0.595000 255.749215 -0.181594 -0.043882 0.247591 2.170574 2.635527 
0.605100 255.173981 -0.182909 -0.045109 0.250505 2.169055 2.639423 
0.615200 254.593355 -0.184180 -0.046345 0.253403 2.167204 2.643197 
0.625300 254.007357 -0.185408 -0.047589 0.256287 2.165042 2.646848 
0.635400 253.416005 -0.186593 -0.048842 0.259156 2.162586 2.650375 
0.645500 252.819319 -0.187736 -0.050102 0.262010 2.159854 2.653778 
0.655600 252.217318 -0.188838 -0.051370 0.264850 2.156863 2.657057 
0.665700 251.610021 -0.189898 -0.052645 0.267676 2.153627 2.660210 
0.675800 250.997448 -0.190917 -0.053927 0.270489 2.150161 2.663238 
0.685900 250.379618 -0.191895 -0.055216 0.273289 2.146481 2.666139 
0.696000 249.756551 -0.192834 -0.056511 0.276075 2.142599 2.668914 
0.706100 249.128268 -0.193734 -0.057813 0.278848 2.138529 2.671562 
0.716200 248.494787 -0.194595 -0.059120 0.281609 2.134282 2.674083 
0.726300 247.856129 -0.195417 -0.060433 0.284356 2.129870 2.676477 
0.736400 247.212314 -0.196201 -0.061752 0.287091 2.125305 2.678744 
0.746500 246.563364 -0.196947 -0.063075 0.289814 2.120596 2.680882 
0.756600 245.909299 -0.197656 -0.064404 0.292524 2.115755 2.682893 
0.766700 245.250139 -0.198329 -0.065737 0.295222 2.110790 2.684775 
0.776800 244.585908 -0.198965 -0.067075 0.297908 2.105711 2.686529 
0.786900 243.916624 -0.199565 -0.068417 0.300581 2.100526 2.688156 
0.797000 243.242312 -0.200130 -0.069762 0.303242 2.095243 2.689654 
0.807100 242.562993 -0.200660 -0.071112 0.305891 2.089870 2.691023 
0.817200 241.878689 -0.201155 -0.072464 0.308528 2.084415 2.692265 
0.827300 241.189423 -0.201615 -0.073820 0.311153 2.078884 2.693378 
0.837400 240.495218 -0.202042 -0.075179 0.313765 2.073284 2.694363 
0.847500 239.796097 -0.202435 -0.076541 0.316365 2.067622 2.695220 
0.857600 239.092085 -0.202795 -0.077905 0.318953 2.061903 2.695950 
0.867700 238.383204 -0.203122 -0.079272 0.321529 2.056133 2.696551 
0.877800 237.669479 -0.203417 -0.080641 0.324092 2.050317 2.697025 
0.887900 236.950935 -0.203680 -0.082011 0.326643 2.044461 2.697371 
0.898000 236.227597 -0.203911 -0.083384 0.329181 2.038569 2.697591 
0.908100 235.499489 -0.204111 -0.084757 0.331707 2.032646 2.697683 
0.918200 234.766638 -0.204279 -0.086132 0.334220 2.026695 2.697648 
0.928300 234.029069 -0.204418 -0.087508 0.336720 2.020722 2.697487 
0.938400 233.286808 -0.204526 -0.088885 0.339208 2.014729 2.697200 
0.948500 232.539883 -0.204604 -0.090262 0.341682 2.008721 2.696786 
0.958600 231.788319 -0.204652 -0.091640 0.344144 2.002700 2.696247 
0.968700 231.032144 -0.204672 -0.093018 0.346592 1.996671 2.695583 
0.978800 230.271386 -0.204662 -0.094396 0.349027 1.990635 2.694794 
0.988900 229.506072 -0.204624 -0.095774 0.351449 1.984596 2.693880 
0.999000 228.736232 -0.204558 -0.097152 0.353857 1.978556 2.692842 
1.009100 227.961892 -0.204464 -0.098529 0.356252 1.972519 2.691680 
1.019200 227.183083 -0.204343 -0.099905 0.358633 1.966485 2.690394 
1.029300 226.399833 -0.204194 -0.101281 0.361000 1.960458 2.688986 
1.039400 225.612173 -0.204018 -0.102655 0.363353 1.954439 2.687455 
1.049500 224.820131 -0.203816 -0.104028 0.365692 1.948431 2.685801 
1.059600 224.023739 -0.203588 -0.105400 0.368017 1.942434 2.684026 
1.069700 223.223026 -0.203333 -0.106770 0.370327 1.936452 2.682130 
1.079800 222.418024 -0.203054 -0.108138 0.372623 1.930484 2.680112 
1.089900 221.608764 -0.202748 -0.109504 0.374904 1.924533 2.677974 
1.100000 220.795277 -0.202418 -0.110868 0.377170 1.918600 2.675717 
1.110100 219.977596 -0.202063 -0.112230 0.379422 1.912687 2.673340 
1.120200 219.155753 -0.201684 -0.113589 0.381658 1.906793 2.670844 
1.130300 218.329779 -0.201280 -0.114946 0.383879 1.900921 2.668230 
1.140400 217.499708 -0.200853 -0.116300 0.386085 1.895071 2.665498 
1.150500 216.665573 -0.200403 -0.117651 0.388275 1.889244 2.662649 
1.160600 215.827408 -0.199929 -0.118998 0.390450 1.883442 2.659683 
1.170700 214.985246 -0.199432 -0.120343 0.392608 1.877663 2.656600 
1.180800 214.139120 -0.198913 -0.121684 0.394751 1.871910 2.653403 
1.190900 213.289067 -0.198371 -0.123022 0.396878 1.866183 2.650090 
1.201000 212.435119 -0.197807 -0.124355 0.398989 1.860482 2.646663 
1.211100 211.577313 -0.197222 -0.125685 0.401083 1.854807 2.643121 
1.221200 210.715682 -0.196615 -0.127011 0.403161 1.849160 2.639467 
1.231300 209.850263 -0.195987 -0.128333 0.405222 1.843540 2.635700 
1.241400 208.981092 -0.195338 -0.129651 0.407267 1.837948 2.631821 
1.251500 208.108204 -0.194668 -0.130964 0.409294 1.832384 2.627830 
1.261600 207.231636 -0.193978 -0.132272 0.411305 1.826848 2.623729 
1.271700 206.351424 -0.193268 -0.133576 0.413298 1.821340 2.619517 
1.281800 205.467605 -0.192538 -0.134875 0.415274 1.815861 2.615196 
1.291900 204.580217 -0.191788 -0.136169 0.417233 1.810409 2.610766 
1.302000 203.689295 -0.191020 -0.137457 0.419174 1.804987 2.606227 
1.312100 202.794879 -0.190232 -0.138741 0.421097 1.799592 2.601581 
1.322200 201.897006 -0.189425 -0.140019 0.423003 1.794226 2.596828 
1.332300 200.995714 -0.188600 -0.141292 0.424891 1.788889 2.591969 
1.342400 200.091041 -0.187757 -0.142559 0.426760 1.783579 2.587004 
1.352500 199.183025 -0.186896 -0.143820 0.428612 1.778297 2.581934 
1.362600 198.271706 -0.186017 -0.145076 0.430445 1.773044 2.576760 
1.372700 197.357123 -0.185120 -0.146325 0.432260 1.767818 2.571482 
1.382800 196.439314 -0.184207 -0.147569 0.434056 1.762619 2.566101 
1.392900 195.518319 -0.183276 -0.148806 0.435833 1.757448 2.560618 
1.403000 194.594178 -0.182329 -0.150037 0.437592 1.752303 2.555034 
1.413100 193.666930 -0.181365 -0.151261 0.439332 1.747186 2.549348 
1.423200 192.736616 -0.180385 -0.152479 0.441052 1.742094 2.543563 
1.433300 191.803275 -0.179389 -0.153690 0.442754 1.737029 2.537678 
1.443400 190.866949 -0.178377 -0.154895 0.444437 1.731990 2.531695 
1.453500 189.927677 -0.177350 -0.156092 0.446100 1.726976 2.525613 
1.463600 188.985500 -0.176308 -0.157283 0.447743 1.721987 2.519434 
1.473700 188.040460 -0.175251 -0.158467 0.449368 1.717023 2.513159 
1.483800 187.092597 -0.174178 -0.159643 0.450972 1.712083 2.506788 
1.493900 186.141953 -0.173092 -0.160812 0.452557 1.707167 2.500321 
1.504000 185.188568 -0.171991 -0.161974 0.454122 1.702275 2.493761 
1.514100 184.232486 -0.170876 -0.163128 0.455667 1.697406 2.487106 
1.524200 183.273747 -0.169747 -0.164275 0.457192 1.692559 2.480359 
1.534300 182.312393 -0.168605 -0.165414 0.458697 1.687736 2.473520 
1.544400 181.348467 -0.167449 -0.166545 0.460182 1.682934 2.466589 
1.554500 180.382010 -0.166280 -0.167669 0.461646 1.678153 2.459568 
1.564600 179.413065 -0.165098 -0.168785 0.463090 1.673394 2.452457 
1.574700 178.441674 -0.163904 -0.169892 0.464514 1.668655 2.445256 
1.584800 177.467880 -0.162697 -0.170992 0.465917 1.663937 2.437967 
1.594900 176.491725 -0.161477 -0.172083 0.467300 1.659238 2.430591 
1.605000 175.513253 -0.160246 -0.173166 0.468662 1.654559 2.423128 
1.615100 174.532506 -0.159003 -0.174241 0.470003 1.649899 2.415578 
1.625200 173.549527 -0.157748 -0.175307 0.471323 1.645257 2.407943 
1.635300 172.564359 -0.156482 -0.176365 0.472623 1.640633 2.400224 
1.645400 171.577046 -0.155205 -0.177415 0.473901 1.636026 2.392421 
1.655500 170.587631 -0.153917 -0.178455 0.475159 1.631437 2.384534 
1.665600 169.596158 -0.152618 -0.179487 0.476395 1.626864 2.376566 
1.675700 168.602668 -0.151309 -0.180511 0.477611 1.622307 2.368516 
1.685800 167.607208 -0.149989 -0.181525 0.478805 1.617766 2.360385 
1.695900 166.609819 -0.148659 -0.182530 0.479978 1.613240 2.352174 
1.706000 165.610546 -0.147320 -0.183527 0.481129 1.608730 2.343884 
1.716100 164.609432 -0.145970 -0.184514 0.482260 1.604233 2.335515 
1.726200 163.606522 -0.144611 -0.185493 0.483369 1.599750 2.327069 
1.736300 162.601859 -0.143243 -0.186462 0.484456 1.595281 2.318547 
1.746400 161.595487 -0.141866 -0.187422 0.485522 1.590825 2.309948 
1.756500 160.587450 -0.140480 -0.188372 0.486566 1.586381 2.301273 
1.766600 159.577792 -0.139085 -0.189313 0.487589 1.581950 2.292525 
1.776700 158.566558 -0.137682 -0.190245 0.488590 1.577530 2.283702 
1.786800 157.553792 -0.136270 -0.191167 0.489570 1.573121 2.274807 
1.796900 156.539537 -0.134850 -0.192080 0.490528 1.568723 2.265839 
1.807000 155.523837 -0.133423 -0.192983 0.491464 1.564336 2.256800 
1.817100 154.506738 -0.131988 -0.193877 0.492379 1.559959 2.247691 
1.827200 153.488284 -0.130545 -0.194761 0.493271 1.555591 2.238511 
1.837300 152.468518 -0.129095 -0.195635 0.494142 1.551232 2.229263 
1.847400 151.447485 -0.127637 -0.196499 0.494991 1.546882 2.219946 
1.857500 150.425229 -0.126173 -0.197354 0.495818 1.542540 2.210563 
1.867600 149.401795 -0.124702 -0.198198 0.496624 1.538206 2.201112 
1.877700 148.377226 -0.123224 -0.199033 0.497407 1.533880 2.191596 
1.887800 147.351568 -0.121740 -0.199858 0.498169 1.529561 2.182014 
1.897900 146.324864 -0.120250 -0.200672 0.498908 1.525248 2.172369 
1.908000 145.297159 -0.118754 -0.201477 0.499626 1.520942 2.162659 
1.918100 144.268497 -0.117252 -0.202271 0.500322 1.516642 2.152888 
1.928200 143.238922 -0.115744 -0.203056 0.500995 1.512347 2.143054 
1.938300 142.208479 -0.114230 -0.203830 0.501647 1.508058 2.133159 
1.948400 141.177211 -0.112712 -0.204594 0.502277 1.503773 2.123204 
1.958500 140.145164 -0.111188 -0.205348 0.502885 1.499493 2.113189 
1.968600 139.112380 -0.109659 -0.206091 0.503471 1.495217 2.103116 
1.978700 138.078905 -0.108125 -0.206825 0.504035 1.490944 2.092985 
1.988800 137.044782 -0.106587 -0.207548 0.504577 1.486675 2.082797 
1.998900 136.010055 -0.105044 -0.208260 0.505097 1.482410 2.072552 
2.008900 134.985021 -0.103513 -0.208955 0.505590 1.478188 2.062354 
2.018900 133.959481 -0.101977 -0.209640 0.506062 1.473969 2.052103 
2.028900 132.933478 -0.100438 -0.210315 0.506513 1.469752 2.041799 
2.038900 131.907053 -0.098894 -0.210979 0.506941 1.465536 2.031442 
2.048900 130.880250 -0.097347 -0.211633 0.507349 1.461322 2.021035 
2.058900 129.853112 -0.095797 -0.212277 0.507735 1.457109 2.010576 
2.068900 128.825679 -0.094243 -0.212911 0.508099 1.452897 2.000068 
2.078900 127.797996 -0.092687 -0.213534 0.508442 1.448686 1.989511 
2.088900 126.770103 -0.091127 -0.214146 0.508764 1.444474 1.978905 
2.098900 125.742044 -0.089565 -0.214749 0.509064 1.440263 1.968252 
2.108900 124.713860 -0.088000 -0.215341 0.509343 1.436051 1.957552 
2.118900 123.685593 -0.086432 -0.215922 0.509601 1.431839 1.946805 
2.128900 122.657285 -0.084862 -0.216493 0.509837 1.427626 1.936014 
2.138900 121.628978 -0.083290 -0.217053 0.510052 1.423411 1.925178 
2.148900 120.600714 -0.081716 -0.217604 0.510246 1.419196 1.914298 
2.158900 119.572535 -0.080139 -0.218143 0.510418 1.414978 1.903375 
2.168900 118.544481 -0.078562 -0.218672 0.510569 1.410759 1.892410 
2.178900 117.516595 -0.076982 -0.219190 0.510700 1.406538 1.881404 
2.188900 116.488918 -0.075401 -0.219698 0.510809 1.402314 1.870356 
2.198900 115.461492 -0.073819 -0.220196 0.510897 1.398088 1.859269 
2.208900 114.434356 -0.072235 -0.220683 0.510964 1.393859 1.848142 
2.218900 113.407553 -0.070651 -0.221159 0.511010 1.389627 1.836977 
2.228900 112.381123 -0.069065 -0.221625 0.511035 1.385392 1.825774 
2.238900 111.355108 -0.067479 -0.222080 0.511039 1.381153 1.814534 
2.248900 110.329548 -0.065892 -0.222524 0.511022 1.376911 1.803258 
2.258900 109.304483 -0.064304 -0.222958 0.510984 1.372665 1.791946 
2.268900 108.279954 -0.062717 -0.223382 0.510926 1.368414 1.780599 
2.278900 107.256002 -0.061128 -0.223794 0.510847 1.364160 1.769218 
2.288900 106.232666 -0.059540 -0.224197 0.510747 1.359901 1.757805 
2.298900 105.209987 -0.057952 -0.224588 0.510627 1.355637 1.746358 
2.308900 104.188005 -0.056364 -0.224969 0.510486 1.351369 1.734880 
2.318900 103.166760 -0.054776 -0.225340 0.510324 1.347095 1.723370 
2.328900 102.146291 -0.053189 -0.225700 0.510142 1.342817 1.711830 
2.338900 101.126638 -0.051602 -0.226049 0.509940 1.338533 1.700261 
2.348900 100.107841 -0.050016 -0.226388 0.509717 1.334244 1.688662 
2.358900 99.089938 -0.048431 -0.226716 0.509474 1.329949 1.677036 
2.368900 98.072969 -0.046846 -0.227033 0.509211 1.325648 1.665382 
2.378900 97.056973 -0.045263 -0.227340 0.508928 1.321342 1.653701 
2.388900 96.041989 -0.043680 -0.227637 0.508624 1.317029 1.641994 
2.398900 95.028055 -0.042099 -0.227923 0.508301 1.312711 1.630262 
2.408900 94.015211 -0.040519 -0.228198 0.507957 1.308386 1.618505 
2.418900 93.003493 -0.038941 -0.228463 0.507594 1.304054 1.606725 
2.428900 91.992942 -0.037365 -0.228717 0.507210 1.299716 1.594921 
2.438900 90.983594 -0.035790 -0.228961 0.506807 1.295371 1.583095 
2.448900 89.975487 -0.034217 -0.229195 0.506385 1.291020 1.571247 
2.458900 88.968661 -0.032646 -0.229417 0.505942 1.286662 1.559378 
2.468900 87.963151 -0.031077 -0.229630 0.505481 1.282296 1.547489 
2.478900 86.958995 -0.029510 -0.229832 0.504999 1.277924 1.535580 
2.488900 85.956232 -0.027945 -0.230023 0.504499 1.273544 1.523653 
2.498900 84.954897 -0.026383 -0.230204 0.503978 1.269157 1.511707 
2.508900 83.955028 -0.024824 -0.230375 0.503439 1.264763 1.499744 
2.518900 82.956661 -0.023267 -0.230535 0.502881 1.260361 1.487763 
2.528900 81.959833 -0.021713 -0.230685 0.502303 1.255951 1.475767 
2.538900 80.964580 -0.020161 -0.230825 0.501707 1.251534 1.463755 
2.548900 79.970939 -0.018613 -0.230954 0.501091 1.247110 1.451729 
2.558900 78.978945 -0.017067 -0.231073 0.500457 1.242677 1.439688 
2.568900 77.988635 -0.015525 -0.231182 0.499804 1.238237 1.427635 
2.578900 77.000044 -0.013986 -0.231280 0.499132 1.233789 1.415568 
2.588900 76.013207 -0.012450 -0.231368 0.498442 1.229333 1.403489 
2.598900 75.028160 -0.010918 -0.231446 0.497733 1.224868 1.391400 
2.608900 74.044937 -0.009389 -0.231514 0.497005 1.220396 1.379299 
2.618900 73.063575 -0.007864 -0.231571 0.496260 1.215916 1.367188 
2.628900 72.084106 -0.006343 -0.231618 0.495496 1.211427 1.355068 
2.638900 71.106566 -0.004825 -0.231656 0.494714 1.206931 1.342940 
2.648900 70.130989 -0.003311 -0.231683 0.493914 1.202426 1.330803 
2.658900 69.157410 -0.001802 -0.231700 0.493096 1.197913 1.318659 
2.668900 68.185861 -0.000296 -0.231707 0.492260 1.193391 1.306509 
2.678900 67.216377 0.001205 -0.231704 0.491406 1.188862 1.294352 
